Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,518.780029296875,518.780029296875,506.4800109863281,508.9700012207031,462.79345703125,526400
2018-01-03,508.6600036621094,514.739990234375,508.1600036621094,514.3400268554688,467.67626953125,448700
2018-01-04,516.5,521.3099975585938,515.010009765625,521.1300048828125,473.8502502441406,389800
2018-01-05,523.8599853515625,525.9400024414062,520.8900146484375,525.5700073242188,477.8874206542969,483000
2018-01-08,523.9400024414062,529.719970703125,523.52001953125,529.489990234375,481.4518127441406,561500
2018-01-09,529.0,540.0,528.5700073242188,533.9400024414062,485.498046875,547700
2018-01-10,534.469970703125,535.8800048828125,529.780029296875,531.5700073242188,483.343017578125,483800
2018-01-11,534.1500244140625,538.9600219726562,530.6099853515625,537.9199829101562,489.11700439453125,765200
2018-01-12,552.7000122070312,556.3699951171875,546.7100219726562,555.530029296875,505.12933349609375,941800
2018-01-16,562.6199951171875,571.8200073242188,561.0599975585938,563.0,511.9216613769531,1370600
2018-01-17,567.2100219726562,578.6300048828125,565.2899780273438,576.510009765625,524.2059326171875,983900
2018-01-18,577.27001953125,584.2100219726562,575.02001953125,579.219970703125,526.6701049804688,819600
2018-01-19,582.6199951171875,590.5599975585938,581.030029296875,590.260009765625,536.7083740234375,591300
2018-01-22,592.4600219726562,593.4400024414062,581.989990234375,593.260009765625,539.436279296875,843600
2018-01-23,593.0,594.52001953125,588.4000244140625,589.6799926757812,536.1812133789062,643400
2018-01-24,591.9000244140625,592.4500122070312,583.1799926757812,587.6699829101562,534.3533935546875,642200
2018-01-25,585.0,585.9299926757812,572.9500122070312,575.5,523.2874755859375,892500
2018-01-26,578.2100219726562,586.9500122070312,577.1199951171875,586.7999877929688,533.562255859375,516600
2018-01-29,585.530029296875,585.530029296875,574.2000122070312,574.4199829101562,522.305419921875,611000
2018-01-30,570.0499877929688,571.530029296875,562.1799926757812,562.2899780273438,511.2760314941406,851100
2018-01-31,564.8099975585938,566.969970703125,559.6500244140625,561.7999877929688,510.8304138183594,665800
2018-02-01,561.4099731445312,568.47998046875,558.75,565.1900024414062,513.912841796875,659600
2018-02-02,565.260009765625,565.260009765625,545.8099975585938,548.3200073242188,498.5733642578125,808200
2018-02-05,539.989990234375,553.030029296875,518.5,524.969970703125,477.3418273925781,1129400
2018-02-06,510.80999755859375,538.52001953125,507.260009765625,535.219970703125,486.6619873046875,1076700
2018-02-07,535.1799926757812,541.6599731445312,532.0,532.260009765625,483.9704895019531,672400
2018-02-08,534.22998046875,536.489990234375,509.010009765625,509.3800048828125,463.166259765625,1038700
2018-02-09,517.0499877929688,525.989990234375,500.010009765625,521.510009765625,474.19573974609375,938600
2018-02-12,526.3200073242188,532.1400146484375,519.8800048828125,525.3800048828125,477.714599609375,614700
2018-02-13,520.8599853515625,526.52001953125,518.77001953125,521.27001953125,473.97760009765625,517500
2018-02-14,517.9000244140625,540.3499755859375,516.4000244140625,539.9400024414062,490.95361328125,656700
2018-02-15,546.4099731445312,547.7100219726562,531.1699829101562,540.6500244140625,491.5993957519531,648000
2018-02-16,539.3499755859375,548.47998046875,537.8300170898438,541.0999755859375,492.0085144042969,534400
2018-02-20,541.0,546.4299926757812,537.25,542.5999755859375,493.372314453125,532100
2018-02-21,542.5999755859375,556.0599975585938,542.4199829101562,543.5599975585938,494.24517822265625,486300
2018-02-22,547.9600219726562,552.1699829101562,537.489990234375,539.530029296875,490.5809326171875,626100
2018-02-23,543.760009765625,549.9099731445312,542.0499877929688,549.75,499.8736267089844,366700
2018-02-26,553.1500244140625,564.219970703125,550.6900024414062,563.969970703125,512.8036499023438,639600
2018-02-27,561.9500122070312,565.489990234375,552.760009765625,552.77001953125,502.6197509765625,616400
2018-02-28,554.739990234375,566.4000244140625,548.8300170898438,549.4299926757812,499.582763671875,721100
2018-03-01,548.5999755859375,549.02001953125,527.030029296875,535.5800170898438,486.9892578125,779700
2018-03-02,530.219970703125,539.7999877929688,527.0900268554688,537.5800170898438,488.80780029296875,636500
2018-03-05,532.6500244140625,546.1599731445312,531.4199829101562,545.260009765625,495.791015625,384600
2018-03-06,543.1599731445312,549.0,540.1400146484375,548.6599731445312,501.53155517578125,387400
2018-03-07,540.4199829101562,548.52001953125,538.3300170898438,547.4299926757812,500.40716552734375,465500
2018-03-08,548.8699951171875,554.3699951171875,547.02001953125,553.3900146484375,505.8553466796875,595200
2018-03-09,558.3300170898438,578.6500244140625,558.3300170898438,577.1799926757812,527.601806640625,814700
2018-03-12,578.3400268554688,578.7999877929688,569.010009765625,571.7899780273438,522.6747436523438,410700
2018-03-13,577.260009765625,578.5599975585938,562.1799926757812,564.0599975585938,515.60888671875,477500
2018-03-14,566.6599731445312,566.6599731445312,557.5599975585938,558.9600219726562,510.94677734375,341400
2018-03-15,560.25,563.6300048828125,555.8499755859375,557.9299926757812,510.0053405761719,313200
